split,window,pair,spearman_h0,spearman_h1,h1_over_h0
Discovery,OPEN15,es_lead_nq,0.779621551674609,0.0005618907089001882,0.0007207223911310046
Discovery,OPEN15,nq_lead_es,0.7796215516746091,0.003048695086494013,0.003910480771017023
Discovery,MID,es_lead_nq,0.826636793405965,-0.01385672643031524,-0.016762774825473007
Discovery,MID,nq_lead_es,0.826636793405965,-0.021178140896286918,-0.025619644643480367
Discovery,RTH,es_lead_nq,0.8347081559154823,-0.012396885301070488,-0.014851760119048991
Discovery,RTH,nq_lead_es,0.8347081559154823,-0.019209599162045298,-0.02301355153404102
Validation,OPEN15,es_lead_nq,0.8037448961425795,0.00519049896703306,0.006457893533064871
Validation,OPEN15,nq_lead_es,0.8037448961425795,0.012674794772393373,0.015769673727601425
Validation,MID,es_lead_nq,0.9230512607797833,-0.01308141917500085,-0.014171931430925964
Validation,MID,nq_lead_es,0.9230512607797833,-0.016492537486442974,-0.0178674123390615
Validation,RTH,es_lead_nq,0.9127796007075065,-0.0056733469480407285,-0.006215462027901641
Validation,RTH,nq_lead_es,0.9127796007075063,-0.008051989809414612,-0.008821395442200307
OOS,OPEN15,es_lead_nq,0.833861716182923,-0.002406813720811245,-0.0028863463498823897
OOS,OPEN15,nq_lead_es,0.833861716182923,0.02087298356851633,0.025031708691537355
OOS,MID,es_lead_nq,0.9326529135671074,-0.01572550518970475,-0.01686104762119874
OOS,MID,nq_lead_es,0.9326529135671074,-0.012731138439237283,-0.013650456942813416
OOS,RTH,es_lead_nq,0.91924484412544,-0.00637985300994896,-0.0069403196011598904
OOS,RTH,nq_lead_es,0.91924484412544,-0.005955812702553046,-0.006479027585103666
