split,window,pair,spearman_h1,mid_h1,lift_vs_mid
Discovery,OPEN5,es_lead_nq,0.011833420920527199,-0.01385672643031524,0.02569014735084244
Discovery,OPEN5,nq_lead_es,0.014780226863185439,-0.021178140896286918,0.03595836775947236
Discovery,OPEN15,es_lead_nq,0.0005618907089001882,-0.01385672643031524,0.014418617139215427
Discovery,OPEN15,nq_lead_es,0.003048695086494013,-0.021178140896286918,0.02422683598278093
Discovery,OPEN30,es_lead_nq,-0.0011166385819968516,-0.01385672643031524,0.012740087848318388
Discovery,OPEN30,nq_lead_es,-0.0018310786848506418,-0.021178140896286918,0.019347062211436276
Validation,OPEN5,es_lead_nq,0.01968768668998722,-0.01308141917500085,0.03276910586498807
Validation,OPEN5,nq_lead_es,0.03345949442408637,-0.016492537486442974,0.04995203191052934
Validation,OPEN15,es_lead_nq,0.00519049896703306,-0.01308141917500085,0.01827191814203391
Validation,OPEN15,nq_lead_es,0.012674794772393373,-0.016492537486442974,0.029167332258836345
Validation,OPEN30,es_lead_nq,0.005138494436615555,-0.01308141917500085,0.018219913611616404
Validation,OPEN30,nq_lead_es,0.009188467143404542,-0.016492537486442974,0.025681004629847515
OOS,OPEN5,es_lead_nq,-0.03158815754609348,-0.01572550518970475,-0.015862652356388732
OOS,OPEN5,nq_lead_es,-0.013807126633784706,-0.012731138439237283,-0.0010759881945474233
OOS,OPEN15,es_lead_nq,-0.002406813720811245,-0.01572550518970475,0.013318691468893504
OOS,OPEN15,nq_lead_es,0.02087298356851633,-0.012731138439237283,0.03360412200775361
OOS,OPEN30,es_lead_nq,0.016872840684070287,-0.01572550518970475,0.03259834587377504
OOS,OPEN30,nq_lead_es,0.019688126458328598,-0.012731138439237283,0.03241926489756588
