stop_rule,target_r,filter,Inner,OOS,Train,Validation,n_Inner,n_OOS,n_Train,n_Validation,selection
0.25x_ib_width,2.0,highvol_early,1.439745508982036,3.795289855072464,0.1610142118863049,7.068978658536586,167,69,387,164,beats same geometry unfiltered in Train+Inner only
0.50x_ib_width,1.0,early,2.1939655172413794,-1.6141917293233083,-0.5989690721649484,5.596522177419355,464,266,970,496,beats same geometry unfiltered in Train+Inner only
0.50x_ib_width,1.0,high_volume,2.8826923076923077,5.970588235294118,-0.5582120582120582,9.246010638297872,195,85,481,188,beats same geometry unfiltered in Train+Inner only
0.50x_ib_width,1.0,highvol_early,4.764970059880239,12.898550724637682,-0.33430232558139533,11.426829268292684,167,69,387,164,beats same geometry unfiltered in Train+Inner only
0.50x_ib_width,1.5,high_volume,5.215705128205128,9.427941176470588,-0.5674376299376299,7.787566489361702,195,85,481,188,beats same geometry unfiltered in Train+Inner only
0.50x_ib_width,1.5,highvol_early,7.229416167664671,17.21286231884058,-0.01970284237726098,9.464939024390244,167,69,387,164,beats same geometry unfiltered in Train+Inner only
0.50x_ib_width,2.0,early,4.3860452586206895,-4.543703007518797,-0.19871134020618555,6.018145161290323,464,266,970,496,beats same geometry unfiltered in Train+Inner only
0.50x_ib_width,2.0,high_volume,6.81474358974359,9.826470588235294,-0.1307172557172557,8.789228723404255,195,85,481,188,beats same geometry unfiltered in Train+Inner only
0.50x_ib_width,2.0,highvol_early,10.826347305389222,17.784420289855074,0.6062661498708011,10.099085365853659,167,69,387,164,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,0.75,high_volume,4.22099358974359,14.704779411764706,-0.6001169438669439,9.429521276595745,195,85,481,188,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,0.75,highvol_early,4.726609281437126,25.613451086956523,-0.7873062015503876,12.969035823170731,167,69,387,164,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,1.0,high_volume,6.845192307692308,16.044117647058822,-0.34667359667359665,7.574468085106383,195,85,481,188,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,1.0,highvol_early,7.542664670658683,28.079710144927535,-0.1771640826873385,10.120426829268293,167,69,387,164,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,1.5,early,5.142780172413793,-2.488721804511278,-0.4368234536082474,5.697643649193548,464,266,970,496,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,1.5,high_volume,6.990224358974359,16.241176470588236,0.23174376299376298,8.771110372340425,195,85,481,188,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,1.5,highvol_early,9.988585329341317,28.03713768115942,0.5909237726098191,10.586128048780488,167,69,387,164,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,2.0,early,4.870285560344827,-2.6705827067669174,-0.1686855670103093,9.026839717741936,464,266,970,496,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,2.0,high_volume,7.428846153846154,11.644117647058824,0.45647089397089397,11.876329787234043,195,85,481,188,beats same geometry unfiltered in Train+Inner only
0.75x_ib_width,2.0,highvol_early,10.811751497005988,21.276268115942027,0.7937661498708011,13.481326219512194,167,69,387,164,beats same geometry unfiltered in Train+Inner only
1.00x_ib_width,0.75,high_volume,7.55448717948718,11.790441176470589,-0.39514033264033266,8.563829787234043,195,85,481,188,beats same geometry unfiltered in Train+Inner only
1.00x_ib_width,0.75,highvol_early,7.9782934131736525,24.882246376811594,-0.24386304909560724,10.385670731707316,167,69,387,164,beats same geometry unfiltered in Train+Inner only
1.00x_ib_width,1.0,high_volume,9.36025641025641,6.55,0.30717255717255715,9.764627659574469,195,85,481,188,beats same geometry unfiltered in Train+Inner only
1.00x_ib_width,1.0,highvol_early,12.179640718562874,18.507246376811594,0.6414728682170543,11.112804878048781,167,69,387,164,beats same geometry unfiltered in Train+Inner only
1.00x_ib_width,1.5,early,4.402209051724138,0.43468045112781956,-0.4542525773195876,10.480846774193548,464,266,970,496,beats same geometry unfiltered in Train+Inner only
1.00x_ib_width,1.5,high_volume,7.941666666666666,6.397058823529412,0.382016632016632,13.501994680851064,195,85,481,188,beats same geometry unfiltered in Train+Inner only
1.00x_ib_width,1.5,highvol_early,11.019461077844312,16.855072463768117,0.7051033591731266,14.070121951219512,167,69,387,164,beats same geometry unfiltered in Train+Inner only
1.00x_ib_width,2.0,high_volume,7.01025641025641,7.9411764705882355,0.04521829521829522,10.77659574468085,195,85,481,188,beats same geometry unfiltered in Train+Inner only
1.00x_ib_width,2.0,highvol_early,9.80688622754491,19.6231884057971,0.40891472868217055,11.603658536585366,167,69,387,164,beats same geometry unfiltered in Train+Inner only
opposite_ib,0.75,high_volume,8.41025641025641,15.253676470588236,-0.3106808731808732,8.45378989361702,195,85,481,188,beats same geometry unfiltered in Train+Inner only
opposite_ib,0.75,highvol_early,8.696107784431138,22.53804347826087,-0.030684754521963824,9.754192073170731,167,69,387,164,beats same geometry unfiltered in Train+Inner only
opposite_ib,1.0,early,3.7952586206896552,3.9915413533834587,-0.9188144329896907,8.144153225806452,464,266,970,496,beats same geometry unfiltered in Train+Inner only
opposite_ib,1.0,high_volume,7.0115384615384615,17.99411764705882,-0.02650727650727651,12.085106382978724,195,85,481,188,beats same geometry unfiltered in Train+Inner only
