stop_rule,target_r,IS,OOS,Validation
0.25x_ib_width,0.75,-0.6278623701605288,-2.357305743243243,0.7284397482014389
0.25x_ib_width,1.0,-0.3177230878186969,-0.23293918918918918,1.397931654676259
0.25x_ib_width,1.5,0.27607117563739375,1.7981418918918919,2.5261690647482014
0.25x_ib_width,2.0,0.19048040604343722,2.816554054054054,3.1651079136690647
0.50x_ib_width,0.75,0.5718100802644004,-3.0152027027027026,3.799325539568345
0.50x_ib_width,1.0,0.14028564683663833,-0.6557432432432433,4.707014388489209
0.50x_ib_width,1.5,0.5503423040604344,-3.5930743243243244,4.0254496402877695
0.50x_ib_width,2.0,0.7806303116147308,-3.502027027027027,3.7021582733812948
0.75x_ib_width,0.75,0.1608165132200189,3.8806587837837836,3.2875
0.75x_ib_width,1.0,0.6760505193578848,1.5619932432432433,3.091906474820144
0.75x_ib_width,1.5,0.8795001180358829,0.6930743243243244,2.8450089928057554
0.75x_ib_width,2.0,1.0494275259678942,0.43158783783783783,5.832823741007195
1.00x_ib_width,0.75,0.6250590179414542,3.2964527027027026,3.6490107913669063
1.00x_ib_width,1.0,1.007318224740321,2.2581081081081082,3.043525179856115
1.00x_ib_width,1.5,1.004131255901794,2.1983108108108107,6.70953237410072
1.00x_ib_width,2.0,0.7580264400377715,3.4148648648648647,5.962589928057554
opposite_ib,0.75,0.5658640226628895,4.693243243243243,4.44910071942446
opposite_ib,1.0,0.4555004721435316,6.3,4.530935251798561
opposite_ib,1.5,0.38485599622285177,5.890878378378378,6.3390287769784175
opposite_ib,2.0,0.21093012275731823,4.422972972972973,6.733453237410072
