stop_rule,target_r,filter,Inner,OOS,Train,Validation,n_Inner,n_OOS,n_Train,n_Validation
0.25x_ib_width,0.75,all,-0.6036742983751846,-2.357305743243243,-0.6392262317834837,0.7284397482014389,677,370,1441,695
0.25x_ib_width,0.75,early,-0.08869881465517242,-1.5525728383458646,-0.7183795103092784,0.3104523689516129,464,266,970,496
0.25x_ib_width,0.75,high_volume,0.7764423076923077,3.749080882352941,-0.9130392411642412,3.728474069148936,195,85,481,188
0.25x_ib_width,0.75,highvol_early,1.7906998502994012,6.394927536231884,-0.9175952842377261,4.736661585365853,167,69,387,164
0.25x_ib_width,0.75,low_volume,-1.011830357142857,-6.538258272058823,-0.7200818607068608,-0.016868781094527364,210,136,481,201
0.25x_ib_width,1.0,all,0.31591580502215655,-0.23293918918918918,-0.6154146426092991,1.397931654676259,677,370,1441,695
0.25x_ib_width,1.0,early,0.8017241379310345,-0.02655075187969925,-0.6658505154639175,1.6175655241935485,464,266,970,496
0.25x_ib_width,1.0,high_volume,1.0423076923076924,1.7397058823529412,-0.7353170478170478,5.040558510638298,195,85,481,188
0.25x_ib_width,1.0,highvol_early,1.938622754491018,3.6340579710144927,-0.7443475452196382,6.432545731707317,167,69,387,164
0.25x_ib_width,1.0,low_volume,-0.7285714285714285,-3.913143382352941,-1.0146829521829521,-0.9244402985074627,210,136,481,201
0.25x_ib_width,1.5,all,1.581887001477105,1.7981418918918919,-0.3374175919500347,2.5261690647482014,677,370,1441,695
0.25x_ib_width,1.5,early,1.5542160560344827,0.7644501879699248,-0.47306701030927834,2.8551537298387095,464,266,970,496
0.25x_ib_width,1.5,high_volume,2.492628205128205,3.5606617647058822,-0.40819906444906445,4.47406914893617,195,85,481,188
0.25x_ib_width,1.5,highvol_early,3.717065868263473,4.082880434782608,-0.3835594315245478,5.900533536585366,167,69,387,164
0.25x_ib_width,1.5,low_volume,2.2760416666666665,-0.2860753676470588,-1.010849792099792,0.591728855721393,210,136,481,201
0.25x_ib_width,2.0,all,1.320993353028065,2.816554054054054,-0.34064885496183206,3.1651079136690647,677,370,1441,695
0.25x_ib_width,2.0,early,0.2902747844827586,3.5728383458646618,-0.34510309278350515,3.674773185483871,464,266,970,496
0.25x_ib_width,2.0,high_volume,0.6673076923076923,2.902941176470588,0.11993243243243243,5.267619680851064,195,85,481,188
0.25x_ib_width,2.0,highvol_early,1.439745508982036,3.795289855072464,0.1610142118863049,7.068978658536586,167,69,387,164
0.25x_ib_width,2.0,low_volume,3.0982142857142856,0.6980698529411765,-1.0900467775467775,1.1551616915422886,210,136,481,201
0.50x_ib_width,0.75,all,3.1093057607090104,-3.0152027027027026,-0.620337439278279,3.799325539568345,677,370,1441,695
0.50x_ib_width,0.75,early,3.517780172413793,-5.973566729323308,-0.698034793814433,4.081905241935484,464,266,970,496
0.50x_ib_width,0.75,high_volume,3.8725961538461537,2.075,-1.0356678794178795,6.985206117021277,195,85,481,188
0.50x_ib_width,0.75,highvol_early,5.830089820359281,6.759057971014493,-0.8434270025839793,8.174542682926829,167,69,387,164
0.50x_ib_width,0.75,low_volume,3.697619047619048,-5.380974264705882,-1.7644230769230769,-0.8555659203980099,210,136,481,201
0.50x_ib_width,1.0,all,2.1840841949778436,-0.6557432432432433,-0.8199167244968771,4.707014388489209,677,370,1441,695
0.50x_ib_width,1.0,early,2.1939655172413794,-1.6141917293233083,-0.5989690721649484,5.596522177419355,464,266,970,496
0.50x_ib_width,1.0,high_volume,2.8826923076923077,5.970588235294118,-0.5582120582120582,9.246010638297872,195,85,481,188
0.50x_ib_width,1.0,highvol_early,4.764970059880239,12.898550724637682,-0.33430232558139533,11.426829268292684,167,69,387,164
0.50x_ib_width,1.0,low_volume,3.143452380952381,-3.1838235294117645,-1.9313929313929314,1.1337064676616915,210,136,481,201
0.50x_ib_width,1.5,all,3.510985967503693,-3.5930743243243244,-0.8406054823039556,4.0254496402877695,677,370,1441,695
0.50x_ib_width,1.5,early,3.251751077586207,-4.731672932330827,-0.5512886597938145,6.034148185483871,464,266,970,496
0.50x_ib_width,1.5,high_volume,5.215705128205128,9.427941176470588,-0.5674376299376299,7.787566489361702,195,85,481,188
0.50x_ib_width,1.5,highvol_early,7.229416167664671,17.21286231884058,-0.01970284237726098,9.464939024390244,167,69,387,164
0.50x_ib_width,1.5,low_volume,7.631845238095238,-6.811580882352941,-1.5006496881496882,2.0189676616915424,210,136,481,201
0.50x_ib_width,2.0,all,3.656573116691285,-3.502027027027027,-0.5705239417071478,3.7021582733812948,677,370,1441,695
0.50x_ib_width,2.0,early,4.3860452586206895,-4.543703007518797,-0.19871134020618555,6.018145161290323,464,266,970,496
0.50x_ib_width,2.0,high_volume,6.81474358974359,9.826470588235294,-0.1307172557172557,8.789228723404255,195,85,481,188
0.50x_ib_width,2.0,highvol_early,10.826347305389222,17.784420289855074,0.6062661498708011,10.099085365853659,167,69,387,164
0.50x_ib_width,2.0,low_volume,7.010714285714286,-3.9246323529411766,-1.4337318087318087,2.5111940298507465,210,136,481,201
0.75x_ib_width,0.75,all,2.6907080871491877,3.8806587837837836,-1.0277585010409438,3.2875,677,370,1441,695
0.75x_ib_width,0.75,early,2.4036907327586206,2.0792410714285716,-1.1398840206185568,4.594789566532258,464,266,970,496
